id,name,score,ra,dec,size,mag
1,Abell 0426,4,03h 18m 36s,41° 30' 54'',190,11.6
2,Sh2-202,3,03h 18m 54s,59° 38' 00'',180,
3,NGC 1300,3,03h 19m 41s,-19° 24' 41'',6.0,10.4
4,NGC 1316,3,03h 22m 42s,-37° 12' 30'',9.0,8.5
5,Melotte 020,2,03h 24m 18s,49° 52' 00'',240,1.2
6,HDW 03,2,03h 27m 15s,45° 24' 20'',9.0,
7,LDN 1455,3,03h 27m 40s,30° 12' 06'',60,
8,NGC 1333,5,03h 29m 20s,31° 24' 56'',60,
9,NGC 1350,3,03h 31m 08s,-33° 37' 43'',5.0,10.3
10,NGC 1342,2,03h 31m 38s,37° 22' 36'',16,6.7
11,NGC 1360,4,03h 33m 15s,-25° 52' 19'',9.0,11.0
12,NGC 1365,4,03h 33m 36s,-36° 08' 25'',10,10.3
13,NGC 1343,3,03h 37m 50s,72° 34' 16'',2.6,12.7
14,NGC 1399,1,03h 38m 29s,-35° 27' 01'',8.0,8.8
15,NGC 1398,2,03h 38m 52s,-26° 20' 15'',8.0,9.7
16,NGC 1404,1,03h 38m 52s,-35° 35' 36'',5.0,10.0
17,NGC 1400,1,03h 39m 31s,-18° 41' 17'',4.0,11.0
18,NGC 1407,1,03h 40m 12s,-18° 34' 48'',7.0,9.7
19,IC 0348,3,03h 44m 34s,32° 09' 46'',25,7.3
20,IC 0342,4,03h 46m 49s,68° 05' 46'',20,8.4
21,M 045,5,03h 47m 30s,24° 07' 00'',120,1.6
22,IsWe 1,2,03h 49m 00s,50° 00' 00'',20,
23,Sh2-205,3,03h 52m 14s,53° 25' 00'',180,
24,Sh2-204,3,03h 55m 42s,57° 26' 00'',90,
25,Kemble 1,2,03h 57m 24s,63° 04' 00'',180,
26,NGC 1491,3,04h 03m 14s,51° 18' 57'',30,
27,NGC 1499,4,04h 03m 14s,36° 22' 00'',200,
28,LBN 0777,4,04h 05m 02s,26° 23' 24'',25,
29,NGC 1501,4,04h 06m 59s,60° 55' 14'',1.0,11.5
30,NGC 1502,2,04h 07m 50s,62° 19' 54'',15,6.9
31,NGC 1514,4,04h 09m 17s,30° 46' 33'',3.0,10.9
32,Barnard 208,2,04h 11m 32s,25° 10' 00'',60,
33,NGC 1532,4,04h 11m 59s,-32° 51' 02'',13,9.9
34,NGC 1535,3,04h 14m 16s,-12° 44' 22'',0.80,9.6
35,NGC 1528,3,04h 15m 23s,51° 12' 54'',25,6.4
36,Barnard 007,4,04h 17m 24s,28° 34' 00'',50,
37,Barnard 008,2,04h 17m 47s,55° 16' 00'',140,
38,LDN 1495,4,04h 18m 05s,27° 37' 17'',40,
39,Sh2-207,2,04h 19m 41s,53° 08' 29'',4.0,
40,NGC 1545,2,04h 20m 57s,50° 15' 12'',12,6.2
41,NGC 1555,4,04h 21m 57s,19° 32' 03'',20,
42,NGC 1530,4,04h 23m 27s,75° 17' 42'',6.0,11.5
43,Melotte 025,2,04h 27m 00s,16° 00' 00'',330,0.5
44,NGC 1579,3,04h 30m 14s,35° 16' 47'',10,
45,Barnard 018,2,04h 31m 12s,24° 22' 00'',60,
46,Sh2-239,3,04h 31m 18s,18° 06' 00'',9.0,
47,Barnard 015,2,04h 31m 54s,46° 38' 00'',15,
48,Barnard 019,1,04h 33m 39s,26° 17' 00'',60,
49,Arp 186,2,04h 33m 59s,-08° 34' 00'',2.0,12.9
50,HP Tau,4,04h 35m 54s,22° 54' 14'',3.0,
51,NGC 1622 Trio,3,04h 36m 37s,-03° 11' 21'',4,12.5
52,Barnard 020,1,04h 37m 02s,50° 59' 00'',8,
53,Barnard 022,3,04h 38m 39s,26° 04' 00'',120,
54,Barnard 023,2,04h 40m 32s,29° 54' 00'',5.0,
55,Sh2-212,2,04h 40m 36s,50° 27' 44'',5.0,
56,Sh2-216,3,04h 43m 21s,46° 42' 06'',120,12.9
57,NGC 1647,2,04h 45m 55s,19° 06' 54'',40,6.4
58,NGC 1664,2,04h 51m 06s,43° 40' 30'',18,7.6
59,vdB 031,4,04h 55m 46s,30° 33' 38'',35,
60,G156.2+5.7,2,04h 58m 51s,51° 50' 28'',90,
61,NGC 1721 Grp,2,04h 59m 17s,-11° 07' 08'',15,12.8
62,Sh2-246,2,05h 02m 06s,14° 05' 00'',65,
63,Abell 07,1,05h 03m 08s,-15° 36' 13'',13,16.0
64,NGC 1750,2,05h 03m 55s,23° 39' 31'',30,6.0
65,NGC 1758,2,05h 04m 42s,23° 48' 50'',10,7.5
66,IC 2118,4,05h 04m 54s,-07° 15' 00'',180,
67,NGC 1788,4,05h 06m 53s,-03° 20' 27'',8.0,
68,NGC 1807,2,05h 10m 43s,16° 31' 18'',17,7.0
69,NGC 1819,2,05h 11m 46s,05° 12' 01'',1.3,12.5
70,NGC 1817,2,05h 12m 15s,16° 41' 24'',20,7.7
71,NGC 1851,2,05h 14m 07s,-40° 02' 46'',11,7.1
72,IC 0405,4,05h 16m 29s,34° 21' 24'',60,
73,Sh2-263,4,05h 21m 45s,08° 23' 57'',110,
74,IC 0410,4,05h 22m 44s,33° 25' 00'',30,
75,M 079,3,05h 24m 11s,-24° 31' 29'',9.0,7.7
76,Sh2-223/Sh2 -224,4,05h 26m 36s,42° 55' 00'',200,
77,IC 0418,1,05h 27m 28s,-12° 41' 50'',0.20,9.3
78,IC 0417,4,05h 28m 06s,34° 25' 24'',11,
79,M 038,3,05h 28m 40s,35° 50' 54'',20,6.4
80,NGC 1931,4,05h 31m 25s,34° 14' 42'',4.0,10.1
81,Cederblad 051,3,05h 32m 00s,12° 09' 33'',60,
82,M 001,5,05h 34m 32s,22° 00' 52'',7.0,8.4
83,Collinder 069,2,05h 35m 00s,09° 56' 00'',70,2.8
84,NGC 1981,2,05h 35m 09s,-04° 25' 54'',25,4.2
85,NGC 1977,4,05h 35m 16s,-04° 49' 15'',20,
86,M 042,5,05h 35m 17s,-05° 23' 28'',66,4.0
87,NGC 1980,2,05h 35m 24s,-05° 55' 00'',15,2.5
88,M 043,4,05h 35m 31s,-05° 16' 03'',7.0,9.0
89,Collinder 070,3,05h 36m 00s,-01° 00' 00'',150,0.6
90,M 036,3,05h 36m 18s,34° 08' 24'',10,6.0
91,NGC 1999,4,05h 36m 25s,-06° 42' 57'',2.0,
92,IC 0434,5,05h 40m 59s,-02° 27' 30'',12.0,
93,Sh2-240,5,05h 41m 06s,28° 05' 00'',150,
94,NGC 2024,4,05h 41m 42s,-01° 51' 24'',30,
95,NGC 2022,2,05h 42m 06s,09° 05' 13'',0.50,11.6
96,Sh2-232,3,05h 42m 30s,36° 11' 00'',45,
97,Barnard 035,4,05h 45m 31s,09° 04' 00'',20,
98,M 078,4,05h 46m 45s,00° 04' 48'',8.0,
99,Sh2-276,3,05h 48m 09s,01° 10' 22'',90,
100,Barnard 036,1,05h 49m 46s,07° 26' 00'',120,
101,M 037,3,05h 52m 18s,32° 33' 12'',19,5.6
102,G179.0+02.6,1,05h 53m 42s,31° 05' 00'',90,
103,LDN 1622,4,05h 54m 02s,01° 40' 15'',40,
104,IC 2149,2,05h 56m 24s,46° 06' 17'',0.25,10.6
105,WeDe 1,2,05h 59m 00s,10° 42' 00'',15,17.2
106,NGC 2149,3,06h 03m 31s,-09° 43' 50'',3.0,
107,NGC 2170,4,06h 07m 32s,-06° 23' 57'',40,
108,NGC 2163,2,06h 07m 49s,18° 39' 27'',3.0,11.0
109,NGC 2169,4,06h 08m 24s,13° 57' 54'',6.0,5.9
110,Sh2-261,4,06h 08m 36s,15° 47' 00'',60,
111,M 035,3,06h 09m 00s,24° 21' 00'',38,5.1
112,NGC 2174,4,06h 09m 24s,20° 39' 34'',40,
113,Sh2-254,4,06h 11m 59s,18° 03' 18'',10,
114,NGC 2207 Pair,2,06h 16m 22s,-21° 22' 22'',3.8,10.9
115,IC 0443,5,06h 16m 36s,22° 31' 00'',60,
116,NGC 2146,4,06h 18m 38s,78° 21' 22'',6.0,12.9
117,Sh2-266,3,06h 18m 46s,15° 16' 52'',2.0,
118,Red Rectangle,4,06h 19m 58s,-10° 38' 15'',0.20,
119,NGC 2217,2,06h 21m 40s,-27° 14' 02'',4.5,10.7
120,Sh2-249,3,06h 22m 32s,22° 58' 30'',80,
121,NGC 2237,5,06h 30m 54s,05° 03' 00'',100,
122,IC 0447,3,06h 31m 07s,09° 52' 00'',60,
123,NGC 2244,5,06h 32m 11s,04° 54' 50'',20,4.8
124,NGC 2245,2,06h 32m 41s,10° 09' 24'',6.0,
125,Sh2-280,3,06h 34m 22s,02° 28' 06'',40,
126,Sh2-282,2,06h 38m 08s,01° 25' 12'',35,
127,NGC 2261,4,06h 39m 10s,08° 44' 40'',2.0,9.0
128,NGC 2264,5,06h 40m 58s,09° 53' 42'',40,4.1
129,Sh2-304,2,06h 44m 00s,-23° 54' 12'',180,
130,Sh2-284,3,06h 45m 28s,00° 17' 48'',30,
131,M 041,3,06h 46m 01s,-20° 45' 24'',40,4.5
132,NGC 2281,2,06h 48m 17s,41° 04' 42'',25,5.4
133,G206.9+2.3,3,06h 48m 22s,06° 22' 11'',120,
134,NGC 2298,2,06h 48m 59s,-36° 00' 15'',6.0,9.3
135,NGC 2301,2,06h 51m 45s,00° 27' 36'',15,6.0
136,Sh2-308,5,06h 54m 00s,-23° 56' 00'',45,
137,NGC 2316,2,06h 59m 40s,-07° 46' 39'',4.0,
138,M 050,3,07h 02m 42s,-08° 23' 00'',32,5.9
139,Seagull Nebula,5,07h 05m 49s,-11° 05' 49'',240,
140,NGC 2343,2,07h 08m 06s,-10° 37' 00'',6.0,6.7
141,NGC 2346,3,07h 09m 22s,-00° 48' 22'',2.0,11.6
142,Sh2-301,4,07h 09m 54s,-18° 29' 53'',9.0,
143,UGC 03697,3,07h 11m 22s,71° 50' 10'',2.3,13.0
144,Arp 141,2,07h 14m 26s,73° 28' 00'',3.0,13.2
145,NGC 2353,2,07h 14m 30s,-10° 16' 00'',18,7.1
146,LBN 1036,2,07h 16m 23s,-10° 35' 24'',50,
147,NGC 2360,3,07h 17m 43s,-15° 38' 30'',13,7.2
148,NGC 2359,5,07h 18m 30s,-13° 13' 36'',40,11.5
149,NGC 2362,3,07h 18m 41s,-24° 57' 18'',8.0,3.8
150,UGC 03789,2,07h 19m 31s,59° 21' 18'',1.4,13.0
151,PFP 1,1,07h 22m 00s,-06° 18' 00'',25,
152,Sh2-310,2,07h 23m 44s,-25° 27' 44'',120,
153,NGC 2371,4,07h 25m 34s,29° 29' 17'',2.0,12.8
154,Abell 21,5,07h 29m 03s,13° 14' 48'',8.0,11.0
155,NGC 2392,4,07h 29m 11s,20° 54' 42'',1.0,9.7
156,Sh2-302,4,07h 31m 32s,-16° 59' 10'',20,
157,CG 4,4,07h 34m 09s,-46° 54' 18'',25.0,
158,M 047,2,07h 36m 35s,-14° 29' 00'',30,6.7
159,NGC 2403,2,07h 36m 51s,65° 36' 07'',20,8.5
160,NGC 2419,2,07h 38m 08s,38° 52' 54'',4.0,10.3
161,NGC 2420,2,07h 38m 23s,21° 34' 24'',10,8.3
